unix,date,symbol,open,high,low,Price,Telapsed
1639612800,16/12/2021 00:00,BTC/EUR,43296.52,43626.2,43185.17,43487.08,1310.7500
1639616400,16/12/2021 01:00,BTC/EUR,43488.35,43528.64,43293.48,43452.4,1310.7917
1639620000,16/12/2021 02:00,BTC/EUR,43444.59,43475.75,43328.17,43448.27,1310.8333
1639623600,16/12/2021 03:00,BTC/EUR,43447.03,43464.95,43144.45,43262.09,1310.8750
1639627200,16/12/2021 04:00,BTC/EUR,43257.66,43333.28,43075.54,43217.24,1310.9167
1639630800,16/12/2021 05:00,BTC/EUR,43185.79,43266.99,43002.29,43027.47,1310.9583
1639634400,16/12/2021 06:00,BTC/EUR,43002.3,43348.87,42998.51,43292.46,1311.0000
1639638000,16/12/2021 07:00,BTC/EUR,43300,43406.29,43075.53,43125.03,1311.0417
1639641600,16/12/2021 08:00,BTC/EUR,43132.52,43254.77,43031.53,43103.17,1311.0833
1639645200,16/12/2021 09:00,BTC/EUR,43106.74,43324.09,43060.21,43318.08,1311.1250
1639648800,16/12/2021 10:00,BTC/EUR,43282.19,43560.33,43235.34,43512.8,1311.1667
1639652400,16/12/2021 11:00,BTC/EUR,43512.82,43782.86,43293.65,43586.98,1311.2083
1639656000,16/12/2021 12:00,BTC/EUR,43604.39,43604.39,42950.84,43001.38,1311.2500
1639659600,16/12/2021 13:00,BTC/EUR,43018.95,43416.85,42736.11,43180.58,1311.2917
1639663200,16/12/2021 14:00,BTC/EUR,43180.22,43180.22,42847.85,42878.41,1311.3333
1639666800,16/12/2021 15:00,BTC/EUR,42878.39,43108.5,42600,43021.05,1311.3750
1639670400,16/12/2021 16:00,BTC/EUR,43013.22,43087.69,42727.82,42928.17,1311.4167
1639674000,16/12/2021 17:00,BTC/EUR,42902.59,42930.4,42500,42519.45,1311.4583
1639677600,16/12/2021 18:00,BTC/EUR,42489.65,42724.66,42320.23,42426.77,1311.5000
1639681200,16/12/2021 19:00,BTC/EUR,42376.11,42537.45,42103.66,42308.03,1311.5417
1639684800,16/12/2021 20:00,BTC/EUR,42290.96,42731.66,42250.3,42325.33,1311.5833
1639688400,16/12/2021 21:00,BTC/EUR,42313.54,42524,42272.05,42475,1311.6250
1639692000,16/12/2021 22:00,BTC/EUR,42448.58,42530.36,41960.19,42195.24,1311.6667
1639695600,16/12/2021 23:00,BTC/EUR,42233.13,42233.13,41958.16,42037.36,1311.7083
1639699200,17/12/2021 00:00,BTC/EUR,42044.98,42341.76,41868.72,42223.64,1311.7500
1639702800,17/12/2021 01:00,BTC/EUR,42217.81,42387.86,42145.95,42252.9,1311.7917
1639706400,17/12/2021 02:00,BTC/EUR,42284.68,42296.29,42098.91,42220.18,1311.8333
1639710000,17/12/2021 03:00,BTC/EUR,42213.89,42241.61,42098.08,42202.27,1311.8750
1639713600,17/12/2021 04:00,BTC/EUR,42202.27,42341.06,42160.71,42304.57,1311.9167
1639717200,17/12/2021 05:00,BTC/EUR,42279.32,42331.55,41996.49,42083.22,1311.9583
1639720800,17/12/2021 06:00,BTC/EUR,42072.12,42097,41857,41872.8,1312.0000
1639724400,17/12/2021 07:00,BTC/EUR,41849.44,41869.84,41315.53,41550.09,1312.0417
1639728000,17/12/2021 08:00,BTC/EUR,41550.2,41674.28,41432.48,41598.03,1312.0833
1639731600,17/12/2021 09:00,BTC/EUR,41598.03,41742.27,41437.41,41698.88,1312.1250
1639735200,17/12/2021 10:00,BTC/EUR,41698.86,41718.06,41310.15,41484.55,1312.1667
1639738800,17/12/2021 11:00,BTC/EUR,41455.47,41820.7,41419.7,41649.56,1312.2083
1639742400,17/12/2021 12:00,BTC/EUR,41651.92,41879.3,41500,41540.05,1312.2500
1639746000,17/12/2021 13:00,BTC/EUR,41536.1,41734.27,41461.83,41539.76,1312.2917
1639749600,17/12/2021 14:00,BTC/EUR,41544.02,41590.28,40499,40672.85,1312.3333
1639753200,17/12/2021 15:00,BTC/EUR,40652.25,41321.17,40257.36,41246.69,1312.3750
1639756800,17/12/2021 16:00,BTC/EUR,41294.42,42076.01,41206.9,41789.33,1312.4167
1639760400,17/12/2021 17:00,BTC/EUR,41738.86,41764.65,41377.73,41520.96,1312.4583
